year,month,gear,SPECIES_CODE,SPECIES_COMMON_NAME,landed_kg,hooksTraps,minutes,FENoGear,covid
2011,1,BOTTOM TRAWL,472,SCULPINS,1393.92,0,1037,0,0
2011,1,BOTTOM TRAWL,596,PACIFIC SANDDAB,468.82,0,628,0,0
2011,1,MIDWATER TRAWL,602,ARROWTOOTH FLOUNDER,5035.91,0,231,0,0
2011,1,BOTTOM TRAWL,612,FLATHEAD SOLE,17.28,0,125,0,0
2011,1,BOTTOM TRAWL,614,PACIFIC HALIBUT,75.57,0,0,0,0
2011,1,HOOK AND LINE,614,PACIFIC HALIBUT,3426.58,47816,11777,1,0
2011,1,BOTTOM TRAWL,621,SOUTHERN ROCK SOLE,872.34,0,4807,0,0
2011,1,HOOK AND LINE,621,SOUTHERN ROCK SOLE,9.24,1450,2919,2,0
2011,1,UNSPECIFIED,621,SOUTHERN ROCK SOLE,5.33,0,0,1,0
2011,1,BOTTOM TRAWL,628,ENGLISH SOLE,50820.35,0,63422,0,0
2011,1,BOTTOM TRAWL,44,SPINY DOGFISH,1221.33,0,2709,0,0
2011,1,HOOK AND LINE,44,SPINY DOGFISH,6188.82,5400,1336,0,0
2011,1,MIDWATER TRAWL,56,BIG SKATE,25.79,0,208,0,0
2011,1,BOTTOM TRAWL,58,SANDPAPER SKATE,979.26,0,3823,0,0
2011,1,HOOK AND LINE,59,LONGNOSE SKATE,1100.62,17070,19301,17,0
2011,1,BOTTOM TRAWL,225,PACIFIC HAKE,412.51,0,945,0,0
2011,1,BOTTOM TRAWL,231,EELPOUTS,57.34,0,0,0,0
2011,1,MIDWATER TRAWL,394,ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX,59.39,0,1393,0,0
2011,1,UNSPECIFIED,396,PACIFIC OCEAN PERCH,10.67,0,0,1,0
2011,1,HOOK AND LINE,405,SILVERGRAY ROCKFISH,310.52,51506,23146,9,0
2011,1,UNSPECIFIED,412,SPLITNOSE ROCKFISH,11.11,0,0,1,0
2011,1,MIDWATER TRAWL,417,WIDOW ROCKFISH,86770.25,0,5743,0,0
2011,1,BOTTOM TRAWL,418,YELLOWTAIL ROCKFISH,361466.5,0,31230,0,0
2011,1,HOOK AND LINE,428,VERMILION ROCKFISH,351.02,36037,16842,20,0
2011,1,HOOK AND LINE,431,CHINA ROCKFISH,1291.95,84642,46233,68,0
2011,1,MIDWATER TRAWL,437,CANARY ROCKFISH,5400.49,0,2940,0,0
2011,1,BOTTOM TRAWL,440,YELLOWMOUTH ROCKFISH,85771.8,0,7176,0,0
2011,1,HOOK AND LINE,442,YELLOWEYE ROCKFISH,6898.64,115700,444350,42,0
2011,1,HOOK AND LINE,450,SHARPCHIN ROCKFISH,0.44,0,145,1,0
2011,1,BOTTOM TRAWL,451,SHORTSPINE THORNYHEAD,20574.18,0,53434,0,0
2011,1,MIDWATER TRAWL,467,LINGCOD,624.02,0,1414,0,0
2011,1,BOTTOM TRAWL,602,ARROWTOOTH FLOUNDER,68303.99,0,15612,0,0
2011,1,UNSPECIFIED,602,ARROWTOOTH FLOUNDER,2352.84,0,0,6,0
2011,1,BOTTOM TRAWL,610,REX SOLE,27677.82,0,47468,0,0
2011,1,BOTTOM TRAWL,625,SLENDER SOLE,75.57,0,0,0,0
2011,1,BOTTOM TRAWL,626,DOVER SOLE,298437.92,0,55514,0,0
2011,1,MIDWATER TRAWL,628,ENGLISH SOLE,20,0,405,0,0
2011,1,BOTTOM TRAWL,636,SAND SOLE,213.8,0,1820,0,0
2011,1,UNSPECIFIED,58,SANDPAPER SKATE,25.78,0,0,2,0
2011,1,MIDWATER TRAWL,124,CHINOOK SALMON,64.01,0,470,0,0
2011,1,UNSPECIFIED,124,CHINOOK SALMON,58.24,0,0,2,0
2011,1,BOTTOM TRAWL,222,PACIFIC COD,130069.42,0,56074,0,0
2011,1,HOOK AND LINE,222,PACIFIC COD,458.14,26866,12127,11,0
2011,1,BOTTOM TRAWL,228,WALLEYE POLLOCK,10814.12,0,14838,0,0
2011,1,HOOK AND LINE,403,SHORTRAKER ROCKFISH,3927.22,90751,71932,18,0
2011,1,TRAP,403,SHORTRAKER ROCKFISH,126.84,765,50531,5,0
2011,1,MIDWATER TRAWL,405,SILVERGRAY ROCKFISH,2829.72,0,1775,0,0
2011,1,BOTTOM TRAWL,410,DARKBLOTCHED ROCKFISH,18986.06,0,31124,0,0
2011,1,BOTTOM TRAWL,412,SPLITNOSE ROCKFISH,5535.49,0,16252,0,0
2011,1,HOOK AND LINE,417,WIDOW ROCKFISH,24.43,30,1760,0,0
2011,1,HOOK AND LINE,418,YELLOWTAIL ROCKFISH,680.44,28084,24039,50,0
2011,1,BOTTOM TRAWL,421,ROSETHORN ROCKFISH,570.32,0,2571,0,0
2011,1,HOOK AND LINE,433,TIGER ROCKFISH,279.31,47674,413091,31,0
2011,1,HOOK AND LINE,435,BOCACCIO,3.56,900,135,0,0
2011,1,BOTTOM TRAWL,437,CANARY ROCKFISH,70845.57,0,24763,0,0
2011,1,HOOK AND LINE,439,REDSTRIPE ROCKFISH,11.12,5424,4542,4,0
2011,1,BOTTOM TRAWL,442,YELLOWEYE ROCKFISH,782.68,0,3385,0,0
2011,1,BOTTOM TRAWL,450,SHARPCHIN ROCKFISH,13919.91,0,12336,0,0
2011,1,BOTTOM TRAWL,453,LONGSPINE THORNYHEAD,5.33,0,796,0,0
2011,1,HOOK AND LINE,455,SABLEFISH,52330.68,155108,166345,28,0
2011,1,TRAP,455,SABLEFISH,301128.22,16387,985517,120,0
2011,1,HOOK AND LINE,461,KELP GREENLING,688.27,30525,36912,75,0
2011,1,BOTTOM TRAWL,540,CABEZON,10.56,0,86,0,0
2011,1,BOTTOM TRAWL,605,DEEPSEA SOLE,28.01,0,150,0,0
2011,1,BOTTOM TRAWL,607,PETRALE SOLE,186397.94,0,79565,0,0
2011,1,TRAP,614,PACIFIC HALIBUT,828.65,2040,111667,0,0
2011,1,BOTTOM TRAWL,619,BUTTER SOLE,106.24,0,161,0,0
2011,1,UNSPECIFIED,44,SPINY DOGFISH,143.14,0,0,4,0
2011,1,BOTTOM TRAWL,56,BIG SKATE,145595.47,0,18019,0,0
2011,1,BOTTOM TRAWL,59,LONGNOSE SKATE,50729.03,0,58026,0,0
2011,1,UNSPECIFIED,66,SPOTTED RATFISH,38.68,0,0,3,0
2011,1,UNSPECIFIED,95,AMERICAN SHAD,18.67,0,0,1,0
2011,1,UNSPECIFIED,96,PACIFIC HERRING,4.45,0,0,1,0
2011,1,MIDWATER TRAWL,222,PACIFIC COD,3.08,0,405,0,0
2011,1,MIDWATER TRAWL,225,PACIFIC HAKE,4748.42,0,2757,0,0
2011,1,UNSPECIFIED,225,PACIFIC HAKE,128.47,0,0,2,0
2011,1,BOTTOM TRAWL,394,ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX,109315.25,0,45215,0,0
2011,1,BOTTOM TRAWL,396,PACIFIC OCEAN PERCH,332282.07,0,51469,0,0
2011,1,MIDWATER TRAWL,396,PACIFIC OCEAN PERCH,124.44,0,275,0,0
2011,1,HOOK AND LINE,401,REDBANDED ROCKFISH,161.96,18717,16288,0,0
2011,1,TRAP,401,REDBANDED ROCKFISH,170.82,62,93802,32,0
2011,1,HOOK AND LINE,407,COPPER ROCKFISH,4528.46,86596,59106,91,0
2011,1,MIDWATER TRAWL,418,YELLOWTAIL ROCKFISH,152321.95,0,5966,0,0
2011,1,HOOK AND LINE,424,QUILLBACK ROCKFISH,10803.81,185984,500434,121,0
2011,1,MIDWATER TRAWL,435,BOCACCIO,937.15,0,1563,0,0
2011,1,UNSPECIFIED,435,BOCACCIO,17.78,0,0,2,0
2011,1,BOTTOM TRAWL,439,REDSTRIPE ROCKFISH,67479.28,0,17900,0,0
2011,1,MIDWATER TRAWL,439,REDSTRIPE ROCKFISH,11041.06,0,1681,0,0
2011,1,MIDWATER TRAWL,455,SABLEFISH,10.96,0,19,0,0
2011,1,BOTTOM TRAWL,467,LINGCOD,17505.43,0,33221,0,0
2011,1,UNSPECIFIED,614,PACIFIC HALIBUT,24.45,0,0,1,0
2011,1,BOTTOM TRAWL,631,STARRY FLOUNDER,1004.53,0,1099,0,0
2011,2,HOOK AND LINE,44,SPINY DOGFISH,31804.75,56600,6384,0,0
2011,2,UNSPECIFIED,44,SPINY DOGFISH,153.36,0,0,2,0
2011,2,BOTTOM TRAWL,56,BIG SKATE,92609.29,0,16859,0,0
2011,2,HOOK AND LINE,58,SANDPAPER SKATE,7.78,800,450,0,0
2011,2,UNSPECIFIED,58,SANDPAPER SKATE,30.67,0,0,2,0
2011,2,HOOK AND LINE,59,LONGNOSE SKATE,3699.95,63350,20876,23,0
2011,2,HOOK AND LINE,222,PACIFIC COD,560.5,40090,7231,14,0
2011,2,UNSPECIFIED,225,PACIFIC HAKE,117.36,0,0,2,0
2011,2,BOTTOM TRAWL,394,ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX,85005.91,0,27443,0,0
2011,2,MIDWATER TRAWL,405,SILVERGRAY ROCKFISH,500.34,0,1649,0,0
2011,2,HOOK AND LINE,407,COPPER ROCKFISH,3164.52,31464,20848,49,0
2011,2,BOTTOM TRAWL,409,DUSKY ROCKFISH,6.08,0,60,0,0
2011,2,BOTTOM TRAWL,410,DARKBLOTCHED ROCKFISH,6532.26,0,17309,0,0
2011,2,MIDWATER TRAWL,417,WIDOW ROCKFISH,54286.5,0,3050,0,0
2011,2,HOOK AND LINE,418,YELLOWTAIL ROCKFISH,549.96,26046,15369,21,0
2011,2,BOTTOM TRAWL,421,ROSETHORN ROCKFISH,461.86,0,3000,0,0
2011,2,HOOK AND LINE,431,CHINA ROCKFISH,618.2,23744,17238,40,0
2011,2,HOOK AND LINE,433,TIGER ROCKFISH,158.5,21744,13690,25,0
2011,2,MIDWATER TRAWL,435,BOCACCIO,7.11,0,25,0,0
2011,2,BOTTOM TRAWL,437,CANARY ROCKFISH,66257.05,0,24478,0,0
2011,2,BOTTOM TRAWL,439,REDSTRIPE ROCKFISH,38263.16,0,15971,0,0
2011,2,BOTTOM TRAWL,451,SHORTSPINE THORNYHEAD,14320.67,0,34064,0,0
2011,2,BOTTOM TRAWL,453,LONGSPINE THORNYHEAD,26.67,0,1062,0,0
2011,2,BOTTOM TRAWL,467,LINGCOD,29216.76,0,28526,0,0
2011,2,BOTTOM TRAWL,607,PETRALE SOLE,100358.83,0,50144,0,0
2011,2,BOTTOM TRAWL,631,STARRY FLOUNDER,109.79,0,821,0,0
2011,2,BOTTOM TRAWL,635,CURLFIN SOLE,11.55,0,260,0,0
2011,2,HOOK AND LINE,56,BIG SKATE,2212.73,32950,6004,1,0
2011,2,BOTTOM TRAWL,59,LONGNOSE SKATE,23759.26,0,33854,0,0
2011,2,UNSPECIFIED,66,SPOTTED RATFISH,8.89,0,0,1,0
2011,2,UNSPECIFIED,124,CHINOOK SALMON,29.78,0,0,2,0
2011,2,MIDWATER TRAWL,225,PACIFIC HAKE,617.44,0,827,0,0
2011,2,MIDWATER TRAWL,228,WALLEYE POLLOCK,373334.18,0,5178,0,0
2011,2,BOTTOM TRAWL,396,PACIFIC OCEAN PERCH,312837.99,0,30600,0,0
2011,2,HOOK AND LINE,401,REDBANDED ROCKFISH,472.32,19580,14086,5,0
2011,2,TRAP,401,REDBANDED ROCKFISH,39.48,0,7636,8,0
2011,2,HOOK AND LINE,403,SHORTRAKER ROCKFISH,2409.18,88980,45710,0,0
2011,2,TRAP,403,SHORTRAKER ROCKFISH,117.59,525,46758,6,0
2011,2,BOTTOM TRAWL,412,SPLITNOSE ROCKFISH,4455.87,0,8901,0,0
2011,2,HOOK AND LINE,414,GREENSTRIPED ROCKFISH,43.99,10480,5696,16,0
2011,2,BOTTOM TRAWL,417,WIDOW ROCKFISH,22822.79,0,13486,0,0
2011,2,HOOK AND LINE,417,WIDOW ROCKFISH,44.45,12,640,0,0
2011,2,MIDWATER TRAWL,418,YELLOWTAIL ROCKFISH,141035.76,0,2686,0,0
2011,2,BOTTOM TRAWL,424,QUILLBACK ROCKFISH,25.78,0,164,0,0
2011,2,UNSPECIFIED,435,BOCACCIO,1476.25,0,0,3,0
2011,2,HOOK AND LINE,437,CANARY ROCKFISH,971.92,42734,25489,52,0
2011,2,MIDWATER TRAWL,439,REDSTRIPE ROCKFISH,8304.48,0,1741,0,0
2011,2,BOTTOM TRAWL,442,YELLOWEYE ROCKFISH,500.79,0,1467,0,0
2011,2,BOTTOM TRAWL,450,SHARPCHIN ROCKFISH,15356.53,0,14566,0,0
2011,2,TRAP,455,SABLEFISH,52004.8,2892,231169,19,0
2011,2,UNSPECIFIED,455,SABLEFISH,20.01,0,0,2,0
2011,2,HOOK AND LINE,461,KELP GREENLING,366.26,19086,17334,46,0
2011,2,HOOK AND LINE,467,LINGCOD,25.29,900,107,0,0
2011,2,BOTTOM TRAWL,472,SCULPINS,4764.3,0,868,0,0
2011,2,BOTTOM TRAWL,540,CABEZON,23.32,0,224,0,0
2011,2,BOTTOM TRAWL,605,DEEPSEA SOLE,4.45,0,0,0,0
2011,2,TRAP,614,PACIFIC HALIBUT,481.56,621,27263,0,0
2011,2,UNSPECIFIED,614,PACIFIC HALIBUT,3.56,0,0,1,0
2011,2,BOTTOM TRAWL,58,SANDPAPER SKATE,282.71,0,431,0,0
2011,2,BOTTOM TRAWL,124,CHINOOK SALMON,2.67,0,0,0,0
2011,2,BOTTOM TRAWL,207,PLAINFIN MIDSHIPMAN,5.77,0,693,0,0
2011,2,BOTTOM TRAWL,231,EELPOUTS,45.79,0,0,0,0
2011,2,BOTTOM TRAWL,401,REDBANDED ROCKFISH,7229.32,0,26286,0,0
2011,2,BOTTOM TRAWL,405,SILVERGRAY ROCKFISH,156767.6,0,28356,0,0
2011,2,HOOK AND LINE,405,SILVERGRAY ROCKFISH,1399.55,38476,21906,29,0
2011,2,HOOK AND LINE,409,DUSKY ROCKFISH,2.22,450,269,1,0
2011,2,BOTTOM TRAWL,414,GREENSTRIPED ROCKFISH,1684.75,0,12078,0,0
2011,2,HOOK AND LINE,421,ROSETHORN ROCKFISH,88.87,15640,9687,11,0
2011,2,HOOK AND LINE,424,QUILLBACK ROCKFISH,7014.83,91046,55743,125,0
2011,2,HOOK AND LINE,426,BLACK ROCKFISH,131.99,2392,9072,30,0
2011,2,BOTTOM TRAWL,440,YELLOWMOUTH ROCKFISH,57137.34,0,4544,0,0
2011,2,MIDWATER TRAWL,440,YELLOWMOUTH ROCKFISH,19.73,0,1067,0,0
2011,2,HOOK AND LINE,442,YELLOWEYE ROCKFISH,10471.95,97004,45400,86,0
2011,2,BOTTOM TRAWL,446,HARLEQUIN ROCKFISH,1.78,0,95,0,0
2011,2,MIDWATER TRAWL,467,LINGCOD,89.37,0,458,0,0
2011,2,BOTTOM TRAWL,596,PACIFIC SANDDAB,74.26,0,243,0,0
2011,2,BOTTOM TRAWL,602,ARROWTOOTH FLOUNDER,174554.73,0,19237,0,0
2011,2,MIDWATER TRAWL,602,ARROWTOOTH FLOUNDER,15396.61,0,234,0,0
2011,2,UNSPECIFIED,602,ARROWTOOTH FLOUNDER,21.78,0,0,2,0
2011,2,BOTTOM TRAWL,610,REX SOLE,17736.19,0,35944,0,0
2011,2,BOTTOM TRAWL,612,FLATHEAD SOLE,12,0,449,0,0
2011,2,HOOK AND LINE,614,PACIFIC HALIBUT,939.11,30900,5215,0,0
2011,2,HOOK AND LINE,621,SOUTHERN ROCK SOLE,4.84,2400,685,0,0
2011,2,BOTTOM TRAWL,626,DOVER SOLE,165249.85,0,30243,0,0
2011,2,BOTTOM TRAWL,628,ENGLISH SOLE,50420.07,0,50113,0,0
2011,2,BOTTOM TRAWL,44,SPINY DOGFISH,788.25,0,1601,0,0
2011,2,MIDWATER TRAWL,44,SPINY DOGFISH,20.46,0,827,0,0
2011,2,BOTTOM TRAWL,66,SPOTTED RATFISH,3613.96,0,2442,0,0
2011,2,BOTTOM TRAWL,95,AMERICAN SHAD,35.11,0,145,0,0
2011,2,BOTTOM TRAWL,222,PACIFIC COD,98435.95,0,45646,0,0
2011,2,BOTTOM TRAWL,225,PACIFIC HAKE,156.92,0,89,0,0
2011,2,BOTTOM TRAWL,228,WALLEYE POLLOCK,1943.63,0,9522,0,0
2011,2,HOOK AND LINE,394,ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX,14364.72,146640,122629,5,0
2011,2,TRAP,394,ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX,412.87,1654,131290,12,0
2011,2,BOTTOM TRAWL,403,SHORTRAKER ROCKFISH,3160.62,0,10128,0,0
2011,2,MIDWATER TRAWL,409,DUSKY ROCKFISH,204.18,0,181,0,0
2011,2,BOTTOM TRAWL,418,YELLOWTAIL ROCKFISH,410692.27,0,24645,0,0
2011,2,BOTTOM TRAWL,420,CHILIPEPPER,6.22,0,29,0,0
2011,2,HOOK AND LINE,428,VERMILION ROCKFISH,213.98,12808,8952,16,0
2011,2,HOOK AND LINE,429,BLUE ROCKFISH,11.11,1680,105,0,0
2011,2,BOTTOM TRAWL,433,TIGER ROCKFISH,4,0,74,0,0
2011,2,BOTTOM TRAWL,435,BOCACCIO,486.62,0,2926,0,0
2011,2,HOOK AND LINE,435,BOCACCIO,34.69,2290,2181,0,0
2011,2,MIDWATER TRAWL,437,CANARY ROCKFISH,601.9,0,1131,0,0
2011,2,HOOK AND LINE,439,REDSTRIPE ROCKFISH,12.12,0,2321,5,0
2011,2,HOOK AND LINE,440,YELLOWMOUTH ROCKFISH,21.78,1600,1046,0,0
2011,2,HOOK AND LINE,451,SHORTSPINE THORNYHEAD,3684.14,179430,128405,0,0
2011,2,TRAP,451,SHORTSPINE THORNYHEAD,91.31,1656,136138,7,0
2011,2,BOTTOM TRAWL,455,SABLEFISH,14442.06,0,19690,0,0
2011,2,HOOK AND LINE,455,SABLEFISH,50950.59,165610,127718,0,0
2011,2,MIDWATER TRAWL,607,PETRALE SOLE,14.22,0,145,0,0
2011,2,BOTTOM TRAWL,614,PACIFIC HALIBUT,311.16,0,75,0,0
2011,2,BOTTOM TRAWL,621,SOUTHERN ROCK SOLE,1652.59,0,5421,0,0
2011,2,BOTTOM TRAWL,625,SLENDER SOLE,7.11,0,130,0,0
2011,2,BOTTOM TRAWL,636,SAND SOLE,71.57,0,344,0,0
2011,3,BOTTOM TRAWL,44,SPINY DOGFISH,856.26,0,1864,0,0
2011,3,MIDWATER TRAWL,56,BIG SKATE,149.27,0,110,0,0
2011,3,BOTTOM TRAWL,58,SANDPAPER SKATE,433.85,0,741,0,0
2011,3,BOTTOM TRAWL,59,LONGNOSE SKATE,15368.44,0,23804,0,0
2011,3,HOOK AND LINE,58,SANDPAPER SKATE,251.99,19900,18286,2,0
2011,3,BOTTOM TRAWL,124,CHINOOK SALMON,11.12,0,0,0,0
2011,3,HOOK AND LINE,394,ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX,33421.47,401718,355735,70,0
2011,3,TRAP,394,ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX,333.24,1067,122395,16,0
2011,3,BOTTOM TRAWL,401,REDBANDED ROCKFISH,8202.95,0,22889,0,0
2011,3,BOTTOM TRAWL,403,SHORTRAKER ROCKFISH,1770.55,0,9700,0,0
2011,3,MIDWATER TRAWL,405,SILVERGRAY ROCKFISH,2146.17,0,2126,0,0
2011,3,HOOK AND LINE,407,COPPER ROCKFISH,2420.62,7566,20732,45,0
2011,3,BOTTOM TRAWL,414,GREENSTRIPED ROCKFISH,4199.8,0,13123,0,0
2011,3,HOOK AND LINE,418,YELLOWTAIL ROCKFISH,453.03,24628,19622,16,0
2011,3,BOTTOM TRAWL,420,CHILIPEPPER,5.33,0,0,0,0
2011,3,UNSPECIFIED,44,SPINY DOGFISH,24.45,0,0,1,0
2011,3,BOTTOM TRAWL,56,BIG SKATE,2996.91,0,5718,0,0
2011,3,HOOK AND LINE,56,BIG SKATE,5158.81,97155,54026,6,0
2011,3,HOOK AND LINE,59,LONGNOSE SKATE,28653.82,346030,287725,40,0
2011,3,BOTTOM TRAWL,66,SPOTTED RATFISH,2523.54,0,1813,0,0
2011,3,BOTTOM TRAWL,95,AMERICAN SHAD,27.12,0,0,0,0
2011,3,MIDWATER TRAWL,96,PACIFIC HERRING,0.89,0,240,0,0
2011,3,UNSPECIFIED,96,PACIFIC HERRING,44.45,0,0,1,0
2011,3,MIDWATER TRAWL,222,PACIFIC COD,44.32,0,110,0,0
2011,3,BOTTOM TRAWL,225,PACIFIC HAKE,177.36,0,1077,0,0
2011,3,MIDWATER TRAWL,228,WALLEYE POLLOCK,308669.34,0,5677,0,0
2011,3,BOTTOM TRAWL,394,ROUGHEYE/BLACKSPOTTED ROCKFISH COMPLEX,126363.38,0,23462,0,0
2011,3,BOTTOM TRAWL,396,PACIFIC OCEAN PERCH,256961.26,0,24689,0,0
2011,3,MIDWATER TRAWL,396,PACIFIC OCEAN PERCH,9.9,0,78,0,0
2011,3,HOOK AND LINE,44,SPINY DOGFISH,34297.38,63200,15336,14,0
2011,3,UNSPECIFIED,58,SANDPAPER SKATE,0.44,0,0,1,0
2011,3,UNSPECIFIED,124,CHINOOK SALMON,18.22,0,0,3,0
2011,3,HOOK AND LINE,222,PACIFIC COD,1527.56,87957,66168,26,0
2011,3,UNSPECIFIED,359,PROWFISH,2.22,0,0,1,0
2011,3,BOTTOM TRAWL,405,SILVERGRAY ROCKFISH,128036.67,0,40623,0,0
2011,3,BOTTOM TRAWL,410,DARKBLOTCHED ROCKFISH,5306.53,0,11038,0,0
2011,3,HOOK AND LINE,410,DARKBLOTCHED ROCKFISH,1.78,3600,408,0,0
2011,3,UNSPECIFIED,414,GREENSTRIPED ROCKFISH,0.44,0,0,1,0
2011,3,HOOK AND LINE,417,WIDOW ROCKFISH,41.34,318,1054,0,0
2011,3,BOTTOM TRAWL,421,ROSETHORN ROCKFISH,846.41,0,2969,0,0
2011,3,HOOK AND LINE,437,CANARY ROCKFISH,483.47,20864,20794,19,0
2011,3,BOTTOM TRAWL,442,YELLOWEYE ROCKFISH,617.92,0,2926,0,0
2011,3,HOOK AND LINE,442,YELLOWEYE ROCKFISH,4015.37,64652,40150,37,0
2011,3,BOTTOM TRAWL,446,HARLEQUIN ROCKFISH,491.19,0,91,0,0
2011,3,UNSPECIFIED,59,LONGNOSE SKATE,4,0,0,1,0
2011,3,UNSPECIFIED,66,SPOTTED RATFISH,59.12,0,0,4,0
2011,3,BOTTOM TRAWL,222,PACIFIC COD,41903.09,0,45290,0,0
2011,3,MIDWATER TRAWL,225,PACIFIC HAKE,5526.42,0,1604,0,0
2011,3,BOTTOM TRAWL,228,WALLEYE POLLOCK,797.11,0,4691,0,0
2011,3,BOTTOM TRAWL,231,EELPOUTS,23.56,0,0,0,0
2011,3,HOOK AND LINE,396,PACIFIC OCEAN PERCH,77.8,6400,3024,0,0
2011,3,HOOK AND LINE,401,REDBANDED ROCKFISH,16480.15,289802,293631,61,0
2011,3,TRAP,401,REDBANDED ROCKFISH,108.6,0,25806,7,0
2011,3,HOOK AND LINE,403,SHORTRAKER ROCKFISH,6461.61,168410,114467,5,0
2011,3,TRAP,403,SHORTRAKER ROCKFISH,15.72,212,21936,1,0
2011,3,HOOK AND LINE,405,SILVERGRAY ROCKFISH,3273.85,130846,101674,24,0
2011,3,BOTTOM TRAWL,412,SPLITNOSE ROCKFISH,5134.3,0,6368,0,0
2011,3,BOTTOM TRAWL,418,YELLOWTAIL ROCKFISH,445635.69,0,38539,0,0
2011,3,HOOK AND LINE,424,QUILLBACK ROCKFISH,3878.56,28684,29402,57,0
2011,3,HOOK AND LINE,428,VERMILION ROCKFISH,129.78,8942,7348,6,0
2011,3,HOOK AND LINE,435,BOCACCIO,196.48,10378,9871,4,0
2011,3,MIDWATER TRAWL,439,REDSTRIPE ROCKFISH,4126.49,0,1712,0,0
2011,3,BOTTOM TRAWL,440,YELLOWMOUTH ROCKFISH,80336.57,0,7201,0,0
2011,3,HOOK AND LINE,440,YELLOWMOUTH ROCKFISH,1169.31,77952,123808,31,0
2011,3,UNSPECIFIED,442,YELLOWEYE ROCKFISH,68.01,0,0,1,0
2011,3,UNSPECIFIED,450,SHARPCHIN ROCKFISH,65.34,0,0,1,0
2011,3,HOOK AND LINE,455,SABLEFISH,68144.86,553914,604495,98,0
2011,3,TRAP,455,SABLEFISH,111065.95,6110,275595,22,0
2011,3,BOTTOM TRAWL,602,ARROWTOOTH FLOUNDER,50520.97,0,11431,0,0
2011,3,UNSPECIFIED,602,ARROWTOOTH FLOUNDER,1213.98,0,0,5,0
2011,3,BOTTOM TRAWL,610,REX SOLE,23742.86,0,26397,0,0
2011,3,MIDWATER TRAWL,621,SOUTHERN ROCK SOLE,14.08,0,110,0,0
2011,3,BOTTOM TRAWL,625,SLENDER SOLE,10.64,0,1900,0,0
2011,3,BOTTOM TRAWL,626,DOVER SOLE,184399.77,0,27586,0,0
2011,3,MIDWATER TRAWL,628,ENGLISH SOLE,56.09,0,110,0,0
